CP,Entidad,Alcaldia,P_NIVSOCEC,Sum_Servicios,Num_Celulares,Num_Autos,Empresas,Empleos
36867,Guanajuato,Salamanca,46.52,6,30,112,26,100
36723,Guanajuato,Salamanca,101.07,0,2,64,24,133
36732,Guanajuato,Salamanca,150.52,9,2,90,24,251
44824,Jalisco,San Pedro Tlaquepaque,161.39,0,6,99,23,141
44215,Jalisco,San Pedro Tlaquepaque,163.15,20,1,20,22,66
36793,Guanajuato,Salamanca,111.12,3,2,62,21,75
44214,Jalisco,San Pedro Tlaquepaque,188.02,0,9,37,20,251
44667,Jalisco,San Pedro Tlaquepaque,207.07,201,11,2,20,339
72777,Puebla,Cuautlancingo,160.02,1,18,306,20,141
36710,Guanajuato,Salamanca,148.63,0,8,136,20,155
44896,Jalisco,San Pedro Tlaquepaque,59.89,0,4,145,19,200
44678,Jalisco,San Pedro Tlaquepaque,193.15,0,4,100,17,83
44985,Jalisco,San Pedro Tlaquepaque,96.74,0,0,147,17,48
44493,Jalisco,San Pedro Tlaquepaque,112.35,0,1,17,17,48
36720,Guanajuato,Salamanca,153.13,14,3,100,17,43
36880,Guanajuato,Salamanca,58.31,2,80,98,17,281
44710,Jalisco,San Pedro Tlaquepaque,114.6,0,1,4,16,57
44817,Jalisco,San Pedro Tlaquepaque,122.77,25,0,137,16,40
36744,Guanajuato,Salamanca,117.07,0,1,76,16,40
44619,Jalisco,San Pedro Tlaquepaque,187.69,0,0,81,15,78
44438,Jalisco,San Pedro Tlaquepaque,131.6,0,1,66,15,49
44665,Jalisco,San Pedro Tlaquepaque,230.1,4,12,17,15,503
44725,Jalisco,San Pedro Tlaquepaque,106.8,18,1,128,15,155
36765,Guanajuato,Salamanca,117.13,6,9,37,15,74
44398,Jalisco,San Pedro Tlaquepaque,120.24,0,0,35,14,35
44723,Jalisco,San Pedro Tlaquepaque,109.82,16,4,0,14,35
72733,Puebla,Cuautlancingo,59.38,2,1,4,14,168
44217,Jalisco,San Pedro Tlaquepaque,149.31,0,1,125,13,94
44989,Jalisco,San Pedro Tlaquepaque,114.43,0,6,54,13,56
44635,Jalisco,San Pedro Tlaquepaque,165.36,0,1,118,12,150
44247,Jalisco,San Pedro Tlaquepaque,138.93,11,1,14,11,57
44399,Jalisco,San Pedro Tlaquepaque,106.1,2,0,97,11,33
44509,Jalisco,San Pedro Tlaquepaque,0,0,1,93,11,143
44757,Jalisco,San Pedro Tlaquepaque,144.55,0,2,15,11,75
44268,Jalisco,San Pedro Tlaquepaque,135.85,36,0,145,11,28
36857,Guanajuato,Salamanca,55.08,0,49,67,11,33
44898,Jalisco,San Pedro Tlaquepaque,127.35,9,4,116,10,25
36752,Guanajuato,Salamanca,137.27,0,1,15,10,67
36855,Guanajuato,Salamanca,40.02,0,21,40,10,25
55713,México,Coacalco de Berrizabal,131.08,0,1,141,10,25
44918,Jalisco,San Pedro Tlaquepaque,138.43,0,6,12,9,34
44827,Jalisco,San Pedro Tlaquepaque,117.12,81,8,80,8,199
44956,Jalisco,San Pedro Tlaquepaque,150.6,0,4,112,7,18
36714,Guanajuato,Salamanca,95.84,0,0,7,7,36
36877,Guanajuato,Salamanca,87.68,0,0,4,7,36
36774,Guanajuato,Salamanca,46.81,0,0,6,7,18
36704,Guanajuato,Salamanca,140.14,0,0,95,6,15
36783,Guanajuato,Salamanca,121.03,0,1,79,6,15
44216,Jalisco,San Pedro Tlaquepaque,132.88,0,0,71,5,13
44668,Jalisco,San Pedro Tlaquepaque,222.5,0,2,121,5,24
36864,Guanajuato,Salamanca,52.64,0,0,121,5,450
44216,Jalisco,San Pedro Tlaquepaque,132.88,0,0,14,4,28
44530,Jalisco,San Pedro Tlaquepaque,166.66,0,2,58,4,28
44959,Jalisco,San Pedro Tlaquepaque,140.76,0,1,71,4,16
56387,México,Chicoloapan de Juárez,57.29,1,10,67,4,34
44219,Jalisco,San Pedro Tlaquepaque,131.82,0,0,80,3,8
44395,Jalisco,San Pedro Tlaquepaque,109.58,0,1,50,3,8
36764,Guanajuato,Salamanca,130.06,0,2,93,3,26
44559,Jalisco,San Pedro Tlaquepaque,181.53,0,0,99,2,23
44815,Jalisco,San Pedro Tlaquepaque,167.64,0,1,150,2,5
36774,Guanajuato,Salamanca,46.81,0,0,42,2,5
36888,Guanajuato,Salamanca,76.29,4,3,149,2,178
36774,Guanajuato,Salamanca,46.81,0,0,136,2,5
44267,Jalisco,San Pedro Tlaquepaque,133.85,0,0,4,1,3
44879,Jalisco,San Pedro Tlaquepaque,120.1,0,0,101,1,3
72706,Puebla,Cuautlancingo,97.95,3,42,809,1,21
72703,Puebla,Cuautlancingo,188.7,0,1,50,1,3
56384,México,Chicoloapan de Juárez,45.7,0,7,124,1,3
56395,México,Chicoloapan de Juárez,39.13,1,26,54,1,21
36715,Guanajuato,Salamanca,234.61,0,0,58,1,3
36753,Guanajuato,Salamanca,76.07,0,0,116,1,3
36850,Guanajuato,Salamanca,54.35,14,32,94,1,3
36866,Guanajuato,Salamanca,34.69,0,0,21,1,3
36897,Guanajuato,Salamanca,64.15,1,0,30,1,3
